case,satellite_gain_dbi,user_gain_dbi,user_index,satellite_index,legacy_formula_rate_bps,standard_friis_rate_bps,legacy_formula_snr_db,standard_friis_snr_db
sat60_user50,60.0,50.0,104,0,3869413.9870966175,15855975.862572156,19.363498943992752,79.55207237115691
sat60_user50,60.0,50.0,104,1,3469179.1524090027,15452555.413222754,17.32579420616616,77.52804474059866
sat60_user50,60.0,50.0,105,0,2932479.3952493505,14896899.145730479,14.56347460670253,74.74022460829875
sat60_user50,60.0,50.0,105,1,1719881.6476965726,13586582.469837349,7.988427370251991,68.16614703724922
sat60_user50,60.0,50.0,106,0,4261563.45768768,16252261.281230202,21.349258306869206,81.54030235318191
sat60_user50,60.0,50.0,106,1,3965774.12040168,15950380.797078839,19.852247893442343,80.02571765988517
sat60_user50,60.0,50.0,107,0,3354403.6682231026,15333737.205163557,16.73853323308325,76.93191398502788
sat60_user50,60.0,50.0,107,1,2407678.128936616,14345764.283809671,11.801991097337535,71.97508906026445
sat60_user50,60.0,50.0,108,0,2445233.602710426,14385611.814773558,12.002573274793436,72.17501077388496
sat60_user50,60.0,50.0,108,1,3657415.4941347167,15640751.176990522,18.285890427592683,78.47225425477552
sat60_user50,60.0,50.0,109,0,5134868.42903017,17127965.21612095,25.75095284052987,85.93385490128543
sat60_user50,60.0,50.0,109,1,4659820.6361422455,16651288.061067702,23.359103617559146,83.54228619450396
sat60_user50,60.0,50.0,110,0,3306804.015526109,15282710.806538118,16.494512318482034,76.67590603706708
sat60_user50,60.0,50.0,110,1,3913911.1504612486,15897930.015689274,19.58926746415951,79.76256334895038
sat60_user50,60.0,50.0,111,0,4229030.224759906,16216784.449104954,21.184814365568364,81.3623091748936
sat60_user50,60.0,50.0,111,1,421914.55822973803,11594755.332520775,-2.0196994573333056,58.17281250997391
sat60_user50,60.0,50.0,112,0,3298757.711716145,15274395.651961038,16.453233451290675,76.63418752039446
sat60_user50,60.0,50.0,112,1,3594171.385267183,15576001.20349714,17.96369659547121,78.14739284598096
sat60_user50,60.0,50.0,113,0,2413892.497939036,14358748.191929523,11.83522076469324,72.04023149445113
sat60_user50,60.0,50.0,113,1,1871596.8144783142,13759755.711767338,8.859167628554252,69.03498616182185
sat60_user50,60.0,50.0,114,0,4192373.915068516,16183333.14785839,20.99947325906859,81.19447842248972
sat60_user50,60.0,50.0,114,1,1988900.9923515834,13891387.444555426,9.518693732666673,69.69540457083914
sat60_user50,60.0,50.0,115,0,3754223.255143579,15739575.035406198,18.77840474815879,78.96807002260934
sat60_user50,60.0,50.0,115,1,4342060.964410089,16329664.635528518,21.75595347867629,81.92864787926757
sat60_user50,60.0,50.0,116,0,3606087.4703787626,15587181.927499175,18.02443041135227,78.20348840179902
sat60_user50,60.0,50.0,116,1,3068841.7152403775,15036900.801975647,15.269704205846821,75.44263626294581
sat60_user50,60.0,50.0,117,0,2045719.9645563671,13953400.614704628,9.834480377275321,70.00653500873067
sat60_user50,60.0,50.0,117,1,3717137.6225599274,15702442.411633797,18.58982061487469,78.78176946064195
sat60_user50,60.0,50.0,118,0,1177102.9508071423,12917892.432966873,4.617356123970622,64.81121695035542
sat60_user50,60.0,50.0,118,1,4837888.305193021,16831371.527242914,24.25622306179565,84.44579494881032
sat60_user50,60.0,50.0,119,0,2757139.3930004467,14718006.268478282,13.649532763373202,73.84268920710122
sat60_user50,60.0,50.0,119,1,1568882.4057483752,13408335.400646703,7.097277471914037,67.2718516446788
sat60_user50,60.0,50.0,120,0,2783238.238516572,14747354.329669526,13.786038129848063,73.98993332529655
sat60_user50,60.0,50.0,120,1,4053987.7098391964,16043211.617250932,20.29918138157114,80.49146535417367
sat60_user50,60.0,50.0,121,0,4351107.521486597,16344438.136377811,21.801642907646443,82.00276899468237
sat60_user50,60.0,50.0,121,1,3729320.3691556067,15711266.194648596,18.651783189870986,78.82603985060311
sat60_user50,60.0,50.0,122,0,1302306.7481048033,13079504.724135922,5.442949307598949,65.62205298313998
sat60_user50,60.0,50.0,122,1,4131413.7163884593,16125665.683670536,20.691107729514915,80.90515114531027
sat60_user50,60.0,50.0,123,0,3494084.67833862,15473296.622443248,17.453028818339597,77.63210684444392
sat60_user50,60.0,50.0,123,1,3790996.093187341,15777689.861826573,18.965292600904498,79.15929845884956
